Rating,Price,Skills,Weak Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Popularity,Base Stats,In Game Stats,Team,Nation,League,CF,CM,RW,LM,CDM,RB,GK,CAM,RWB,LWB,CB,LB,RM,LW,ST,Card Type,Acceleration Type,Work Rate (Attack),Work Rate (Defense),Height (cm),Weight (kg)
95,1780000.0,4,5,89,97,93,93,48,78,1669,498,2434,fut icons,hungary,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,controlled,h,m,172.0,72.0
95,3190000.0,5,4,87,57,77,72,97,87,1092,477,2195,fut icons,italy,icons,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,lengthy,m,h,186.0,83.0
95,1150000.0,5,5,89,95,92,95,46,72,1313,489,2367,fut icons,italy,icons,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,trophy titans - icon,explosive,h,m,174.0,74.0
95,429000.0,2,3,84,51,80,74,97,86,783,472,2233,fut icons,italy,icons,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,trophy titans - icon,controlled,m,h,176.0,70.0
95,670000.0,4,4,84,82,97,95,76,78,591,512,2473,fut icons,spain,icons,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,trophy titans - icon,controlled,h,h,170.0,72.796977124183
95,135000.0,3,5,88,96,78,92,41,82,1303,477,2333,fut icons,netherlands,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,trophy titans - icon,controlled,m,m,188.0,72.796977124183
95,1210000.0,4,4,89,86,93,99,72,81,846,520,2479,manchester city,portugal,premier league,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,tots,explosive,h,h,173.0,64.0
95,1330000.0,4,4,93,93,94,99,59,87,1059,525,2550,om,chile,ligue 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tots,controlled,h,m,168.0,62.0
94,877000.0,4,3,91,96,91,92,46,76,2623,492,2396,fut icons,hungary,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,h,m,172.0,72.0
94,2500000.0,5,5,91,92,91,94,42,73,2446,483,2339,fut icons,netherlands,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,explosive,h,l,180.0,71.0
94,572000.0,1,3,95,89,75,96,60,95,1376,510,1320,fut icons,russia,icons,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,icon,controlled,m,m,189.0,72.796977124183
94,853000.0,5,4,90,87,94,96,41,68,1234,476,2301,fut icons,brazil,icons,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,icon,explosive,m,l,169.0,72.796977124183
94,1010000.0,2,4,86,56,75,69,96,83,1872,465,2140,fut icons,italy,icons,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,icon,lengthy,m,h,186.0,83.0
94,5990000.0,5,4,92,90,91,95,37,81,2463,486,2328,fut icons,brazil,icons,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,icon,controlled,h,l,180.0,78.0
94,4920000.0,5,5,93,93,80,93,46,80,3826,485,2321,fut icons,brazil,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,m,l,183.0,82.0
94,1500000.0,5,5,82,90,93,92,72,83,3352,512,2474,fut icons,france,icons,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,icon,lengthy,m,m,185.0,72.796977124183
94,215000.0,4,4,88,94,77,88,43,76,1004,466,2287,fut icons,germany,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,h,m,176.0,72.796977124183
94,188000.0,4,4,81,94,83,89,49,86,1660,482,2351,fc barcelona,poland,laliga santander,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,otw,controlled,h,m,185.0,81.0
94,1050000.0,4,4,85,92,94,97,37,69,1942,474,2337,paris sg,argentina,ligue 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,champions league,explosive,l,l,169.0,67.0
94,1980000.0,4,4,86,93,94,97,37,70,3660,477,2347,paris sg,argentina,ligue 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,world cup tott,explosive,h,l,169.0,67.0
94,5970000.0,5,4,99,92,85,95,40,82,1147,493,2338,paris sg,france,ligue 1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,world cup tott,controlled,h,l,182.0,73.0
94,2040000.0,4,4,99,81,90,91,90,91,1851,542,2580,paris sg,morocco,ligue 1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,toty,controlled,h,m,181.0,73.0
94,1400000.0,2,3,90,60,81,83,95,92,1270,501,2362,real madrid,brazil,laliga santander,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,toty,controlled,m,m,186.0,78.0
94,1220000.0,3,3,98,80,88,90,88,92,2781,536,2514,milan,france,serie a tim,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,toty,controlled,h,m,184.0,81.0
94,4090000.0,4,4,91,88,96,91,70,83,1715,519,2528,fut icons,england,icons,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,toty icon,controlled,h,h,182.0,74.0
94,14600000.0,4,5,87,93,93,90,84,91,1703,538,2613,fut icons,netherlands,icons,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,toty icon,controlled,h,m,191.0,88.0
94,655000.0,2,3,80,46,71,73,95,90,947,455,2096,fut icons,italy,icons,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,toty icon,lengthy,m,h,187.0,80.0
94,525000.0,4,4,92,92,93,98,58,86,3597,519,2518,om,chile,ligue 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fantasy,controlled,h,m,168.0,62.0
94,1520000.0,5,4,94,92,85,95,60,73,1309,499,2409,fut icons,northern ireland,icons,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,,explosive,m,m,175.0,65.0
94,3050000.0,3,5,90,90,92,84,91,86,1068,533,2585,fut icons,germany,icons,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,controlled,h,h,174.0,71.0
94,2760000.0,5,5,89,93,92,93,53,93,883,513,2492,fut icons,france,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,controlled,h,m,188.0,72.796977124183
94,7560000.0,5,5,94,94,87,94,46,80,1134,495,2419,fut icons,portugal,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,explosive,h,m,175.0,76.0
94,466000.0,4,5,79,91,96,90,70,81,691,507,2444,manchester city,belgium,premier league,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,tif,controlled,h,h,181.0,70.0
94,268000.0,5,4,88,94,88,93,39,82,1267,484,2359,fut icons,netherlands,icons,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,trophy titans - icon,controlled,m,m,183.0,78.0
94,816000.0,4,5,95,92,82,91,48,80,1298,488,2341,fut icons,spain,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,trophy titans - icon,controlled,h,m,186.0,72.796977124183
94,305000.0,3,5,82,93,93,89,80,87,653,524,2522,fut icons,england,icons,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,trophy titans - icon,controlled,h,m,183.0,83.0
94,294000.0,5,4,93,92,77,91,37,74,675,464,2262,fut icons,england,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,trophy titans - icon,explosive,m,m,173.0,70.0
94,1230000.0,5,5,92,94,79,92,43,76,1017,476,2321,fut icons,scotland,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,trophy titans - icon,explosive,h,m,173.0,73.0
94,375000.0,4,4,85,93,91,90,80,89,616,528,2526,fut icons,england,icons,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,trophy titans - icon,controlled,h,m,184.0,89.0
93,558000.0,3,4,90,66,81,86,90,87,2921,500,2324,fut icons,brazil,icons,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,icon,controlled,h,m,180.0,76.0
93,997000.0,5,4,89,93,90,93,53,92,1690,510,2476,fut icons,france,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,h,m,188.0,72.796977124183
93,2100000.0,4,5,94,94,86,93,45,79,1814,491,2398,fut icons,portugal,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,explosive,h,m,175.0,76.0
93,171000.0,2,3,70,49,76,72,95,82,-66,444,2131,fut icons,italy,icons,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,icon,controlled,m,h,176.0,70.0
93,651000.0,4,4,93,91,84,94,58,71,1264,491,2370,fut icons,northern ireland,icons,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,icon,explosive,m,m,175.0,65.0
93,1420000.0,3,4,89,89,90,82,90,85,526,525,2544,fut icons,germany,icons,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,icon,controlled,h,h,174.0,71.0
93,92500.0,3,4,83,94,76,89,39,75,252,456,2231,fut icons,netherlands,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,m,m,188.0,72.796977124183
93,145000.0,5,4,86,84,92,92,40,61,562,455,2217,fut icons,italy,icons,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,icon,explosive,m,l,174.0,73.0
93,4890000.0,4,5,86,91,91,89,82,90,2076,529,2566,fut icons,netherlands,icons,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,icon,controlled,h,m,191.0,88.0
93,610000.0,4,4,94,91,83,90,53,80,1301,491,2332,fut icons,france,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,icon,controlled,m,m,188.0,72.796977124183
93,210000.0,4,3,81,80,95,93,72,72,1659,493,2391,fut icons,spain,icons,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,icon,explosive,h,h,170.0,72.796977124183
93,3970000.0,5,4,98,91,84,94,39,80,-637,486,2306,paris sg,france,ligue 1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,road to world cup,controlled,h,l,182.0,73.0
93,835000.0,5,4,90,87,93,95,41,68,694,474,2295,fut icons,brazil,icons,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,world cup icon,explosive,m,l,169.0,72.796977124183
93,723000.0,4,5,77,90,95,90,67,99,1087,518,2486,manchester city,belgium,premier league,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,winter wildcards,lengthy,h,h,181.0,70.0
93,1120000.0,4,3,92,58,85,88,91,86,557,500,2365,fut icons,brazil,icons,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,icon,controlled,h,m,176.0,72.796977124183
93,1700000.0,4,3,93,92,87,93,51,80,-65,496,2378,liverpool,egypt,premier league,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,fut centurions,controlled,h,m,175.0,71.0
93,770000.0,3,4,90,66,90,86,90,84,1224,506,2382,fut icons,argentina,icons,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,toty icon,controlled,h,h,178.0,75.0
93,571000.0,5,4,82,84,96,93,75,75,1675,505,2466,fut icons,italy,icons,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,toty icon,explosive,m,m,177.0,67.0
93,674600.0,4,4,93,94,84,92,45,78,6933,486,2363,fut icons,mexico,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,toty icon sbc,explosive,h,m,176.0,73.0
93,114250.0,4,4,91,93,92,90,72,86,14098,524,2555,lafc,wales,major league soccer,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,premium sbc,controlled,h,m,185.0,82.0
93,705200.0,4,4,94,88,86,92,49,83,3929,492,2366,fc bayern,senegal,bundesliga,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,flashback sbc,explosive,h,m,174.0,69.0
93,287000.0,4,5,77,90,95,89,68,80,515,499,2407,manchester city,belgium,premier league,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,sif,controlled,h,h,181.0,70.0
93,1050000.0,4,4,95,87,91,95,53,70,864,491,2390,hero,ghana,ligue 1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fantasy hero,explosive,m,m,174.0,67.0
93,640000.0,4,3,93,92,86,93,51,80,716,495,2372,liverpool,egypt,premier league,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,tif,controlled,h,m,175.0,71.0
93,580000.0,2,4,85,44,77,79,94,94,1164,473,2216,manchester city,portugal,premier league,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fantasy,lengthy,m,h,187.0,72.796977124183
93,211000.0,3,4,88,97,77,88,49,81,-58,480,2345,hero,france,ligue 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fantasy hero,controlled,h,m,176.0,72.0
93,4860000.0,5,4,98,91,85,94,39,80,-19386,487,2310,paris sg,france,ligue 1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ligue 1 potm sbc,controlled,h,l,182.0,73.0
93,616000.0,4,5,86,84,90,97,69,76,717,502,2410,manchester city,portugal,premier league,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,fut birthday,explosive,h,h,173.0,64.0
93,5600000.0,5,5,94,92,88,93,52,77,-488,496,2381,fut icons,brazil,icons,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,controlled,h,h,173.0,72.796977124183
93,966900.0,4,5,90,92,89,93,45,79,2806,488,2370,fut icons,brazil,icons,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,,controlled,m,l,186.0,72.796977124183
93,1770000.0,5,5,92,88,90,94,46,75,1431,485,2324,fut icons,brazil,icons,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,controlled,h,m,186.0,78.0
93,112000.0,4,5,90,90,81,85,43,84,716,473,2289,fut icons,netherlands,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,controlled,h,l,188.0,81.0
93,308750.0,3,4,83,74,88,87,93,93,6917,518,2462,fut icons,republic of ireland,icons,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,trophy titans - icon,lengthy,m,h,180.0,76.0
93,85000.0,4,5,90,90,78,85,43,82,787,468,2270,fut icons,germany,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,trophy titans - icon,controlled,h,m,184.0,74.0
93,103000.0,1,3,94,91,87,96,62,92,1337,522,1359,fut icons,spain,icons,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,trophy titans - icon,controlled,m,m,181.74793052299154,72.796977124183
93,340000.0,4,3,89,74,90,89,93,76,846,511,2474,fut icons,germany,icons,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,trophy titans - icon,explosive,h,h,170.0,72.796977124183
93,127250.0,5,4,85,84,94,93,36,77,3660,469,2291,başakşehir,germany,süper lig (tur 1),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,premium sbc,controlled,h,l,180.0,70.0
93,3820000.0,3,4,85,82,84,87,92,93,479,523,2452,fut icons,france,icons,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,trophy titans - icon,lengthy,m,h,192.0,72.796977124183
93,312000.0,2,3,82,71,73,82,94,90,1071,492,2331,fut icons,france,icons,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,trophy titans - icon,lengthy,m,h,192.0,72.796977124183
93,413150.0,4,5,90,93,84,91,48,79,2561,485,2358,fut icons,spain,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,trophy titans - icon,controlled,h,m,180.0,68.0
93,895000.0,4,4,95,90,91,96,80,85,1722,537,2567,psv,netherlands,eredivisie,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,tots,explosive,h,m,168.0,72.796977124183
93,1600000.0,5,4,98,89,84,95,45,70,1201,481,2347,real madrid,brazil,laliga santander,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,tots,explosive,m,m,174.0,64.0
93,2550000.0,5,4,94,92,85,96,50,86,1011,503,2421,arsenal,brazil,premier league,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,tots,explosive,h,h,175.0,73.0
93,549000.0,5,3,97,90,88,93,37,75,622,480,2306,fc bayern,france,bundesliga,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,tots,explosive,m,m,179.0,75.0
92,110000.0,4,5,83,92,89,92,43,67,402,466,2265,fut icons,italy,icons,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,icon,explosive,m,m,174.0,74.0
92,150000.0,2,3,72,42,65,67,94,86,81,426,1939,fut icons,italy,icons,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,icon,lengthy,m,h,187.0,79.0
92,170000.0,5,4,73,80,95,91,71,67,305,477,2347,fut icons,italy,icons,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,icon,explosive,m,m,177.0,67.0
92,110000.0,2,3,68,64,83,78,93,85,-220,471,2318,fut icons,england,icons,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,icon,controlled,m,m,178.0,72.0
92,193000.0,2,3,70,45,68,58,94,90,-83,425,2016,fut icons,spain,icons,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,icon,lengthy,m,h,178.0,80.0
92,360000.0,3,3,80,87,95,88,69,82,555,501,2464,fut icons,england,icons,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,icon,controlled,h,h,182.0,74.0
92,88000.0,4,4,84,91,86,90,37,78,291,466,2272,fut icons,netherlands,icons,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,icon,controlled,m,m,183.0,78.0
92,325000.0,3,5,94,90,80,92,41,68,1674,465,2245,fut icons,spain,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,explosive,m,l,168.0,68.0
92,220000.0,2,3,80,43,63,68,95,85,626,434,2065,fut icons,italy,icons,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,icon,controlled,l,h,176.0,74.0
92,354000.0,4,3,89,95,90,91,47,77,2615,489,2373,fut icons,hungary,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,h,m,172.0,75.0
92,92000.0,3,4,88,91,73,86,36,76,-94,450,2161,fut icons,england,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,h,l,177.0,74.0
92,287000.0,4,3,92,93,86,92,50,86,1214,499,2407,fut icons,bulgaria,icons,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,icon,controlled,m,m,178.0,73.0
92,169000.0,3,4,92,93,81,91,44,75,553,476,2312,fut icons,mexico,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,explosive,h,m,176.0,73.0
92,233000.0,2,4,86,63,88,85,90,81,545,493,2312,fut icons,argentina,icons,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,icon,controlled,h,h,178.0,74.0
92,277000.0,4,5,90,92,77,90,41,73,324,463,2271,fut icons,scotland,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,explosive,h,m,173.0,73.0
92,336000.0,4,4,92,88,89,92,41,80,953,482,2283,fut icons,portugal,icons,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,icon,controlled,h,l,180.0,75.0
92,528000.0,5,4,90,86,92,94,41,67,1168,470,2275,fut icons,brazil,icons,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,icon,explosive,m,l,169.0,72.796977124183
92,391000.0,2,4,82,56,74,68,95,81,1936,456,2115,fut icons,italy,icons,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,icon,lengthy,m,h,186.0,83.0
92,167000.0,1,3,92,87,88,94,49,90,306,500,1300,fut icons,denmark,icons,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,icon,controlled,m,m,193.0,72.796977124183
92,92000.0,4,4,88,92,82,90,47,75,749,474,2297,fut icons,spain,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,h,m,180.0,68.0
92,215000.0,4,2,87,91,88,92,44,78,237,480,2335,fut icons,brazil,icons,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,icon,controlled,m,l,186.0,72.796977124183
92,84500.0,3,3,86,91,74,85,37,82,17,455,2178,fut icons,netherlands,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,h,l,188.0,72.796977124183
92,710000.0,4,4,95,93,81,90,47,83,1568,489,2358,fut icons,cameroon,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,h,l,179.0,75.0
92,91000.0,4,4,84,93,75,86,42,75,724,455,2237,fut icons,germany,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,icon,controlled,h,m,176.0,74.0
92,2300000.0,5,4,94,92,87,93,51,76,1105,493,2366,fut icons,brazil,icons,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,icon,controlled,h,h,173.0,72.796977124183
92,193000.0,4,5,75,89,94,88,66,79,1072,491,2374,manchester city,belgium,premier league,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,if,controlled,h,h,181.0,70.0
92,244000.0,4,4,93,87,85,91,48,82,908,486,2337,fc bayern,senegal,bundesliga,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,otw,explosive,h,m,174.0,69.0
92,743100.0,4,4,82,90,91,95,35,65,4535,458,2262,paris sg,argentina,ligue 1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ligue 1 potm sbc,explosive,l,l,169.0,67.0
92,1730000.0,5,4,98,90,82,93,37,78,4,478,2263,paris sg,france,ligue 1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,if,controlled,h,l,182.0,73.0
92,453000.0,4,3,92,91,85,92,48,78,822,486,2330,liverpool,egypt,premier league,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,out of position,controlled,h,m,175.0,71.0
92,324550.0,4,4,77,92,81,87,45,84,-2807,466,2279,fc barcelona,poland,laliga santander,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,laliga potm sbc,controlled,h,m,185.0,81.0
92,311000.0,4,3,92,91,85,92,49,78,979,487,2335,liverpool,egypt,premier league,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,sif,controlled,h,m,175.0,71.0
92,354000.0,4,4,84,83,89,96,67,75,943,494,2374,manchester city,portugal,premier league,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,world cup ptg,explosive,h,h,173.0,64.0
92,22300.0,4,4,91,58,85,88,89,85,1079,496,2348,fut icons,brazil,icons,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,world cup icon,controlled,h,m,176.0,0.0
92,1680000.0,5,5,94,87,90,94,74,76,1864,515,2442,rb leipzig,france,bundesliga,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,world cup ptg,explosive,h,m,175.0,73.0
92,1900000.0,4,5,93,94,88,92,41,77,886,485,2360,fut icons,portugal,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,world cup icon,explosive,h,m,175.0,76.0
92,2100000.0,5,5,91,90,89,94,41,73,1002,478,2308,fut icons,netherlands,icons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,world cup icon,explosive,h,l,180.0,71.0
92,258000.0,4,4,93,87,85,91,47,80,509,483,2322,fc bayern,senegal,bundesliga,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,road to world cup,explosive,h,m,174.0,69.0
92,109000.0,5,4,87,83,90,91,39,61,705,451,2195,fut icons,italy,icons,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,world cup icon,explosive,m,l,174.0,73.0
92,949000.0,2,3,83,61,73,74,92,88,810,471,2197,liverpool,netherlands,premier league,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,world cup stories,lengthy,m,h,193.0,92.0
92,1380000.0,3,4,88,87,88,80,90,83,799,516,2505,fut icons,germany,icons,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,world cup icon,controlled,h,h,174.0,71.0
92,145000.0,1,3,93,89,85,95,60,91,221,513,1355,fut icons,spain,icons,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,icon,controlled,m,m,181.74793052299154,72.796977124183
92,1060000.0,5,4,83,89,87,92,81,86,1881,518,2493,real madrid,france,laliga santander,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,winter wildcards,controlled,h,h,185.0,81.0
